cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
nonProfitCore,Account,Account.2.4.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,non_profit_core,account,createdBy
nonProfitCore,Contact,Contact.2.4.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",non_profit_core,contact,createdBy
nonProfitCore,Address,Address.2.4.cdm.json/Address,Address and shipping information. Used to store additional addresses for an account or contact.,non_profit_core,address,customerAddressId
nonProfitCore,Award,Award.2.4.cdm.json/Award,An Award represents the total amount of funding that has been agreed to be awarded to an individual or institution.,non_profit_core,award,createdBy
nonProfitCore,AwardVersion,AwardVersion.2.4.cdm.json/AwardVersion,An Award Version represents a point in time snapshot of the attributes of an Award.,non_profit_core,award_version,createdBy
nonProfitCore,BenefitRecipient,BenefitRecipient.2.4.cdm.json/BenefitRecipient,"Benefit Recipient for contact, account and resource catalog.",non_profit_core,benefit_recipient,createdBy
nonProfitCore,Budget,Budget.2.4.cdm.json/Budget,"A Budget represents the amount of funds that can be awarded for a particular delivery framework (i.e Program, Project, Initiative, Activity) for a defined period of time (i.e. fiscal year).",non_profit_core,budget,createdBy
nonProfitCore,CreditPlan,CreditPlan.2.4.cdm.json/CreditPlan,Credit Plans control who will be credited with hard or soft credits after a payment clears.,non_profit_core,credit_plan,createdBy
nonProfitCore,CreditPlanRecipient,CreditPlanRecipient.2.4.cdm.json/CreditPlanRecipient,"The contact, donor or constituent who receives ""credit"" for the hard or soft cleared payment.",non_profit_core,credit_plan_recipient,createdBy
nonProfitCore,DeliveryFramework,DeliveryFramework.2.4.cdm.json/DeliveryFramework,"Delivery Framework represents a management unit of work defined by the organization or entity doing the work. In IATI, the Delivery Framework is an “Activity.”",non_profit_core,delivery_framework,createdBy
nonProfitCore,DesignatedCredit,DesignatedCredit.2.4.cdm.json/DesignatedCredit,A segment of a donation payment or in-kind gift that indicates the partial amount that is hard- or soft-credited to a Customer and allocated to one Designation.,non_profit_core,designated_credit,createdBy
nonProfitCore,Designation,Designation.2.3.cdm.json/Designation,"An area to which funds may be allocated, including a GL-relevant accounting code.  Designations are the way a donor instructs an organization about how their donation should be spent or earmarked.",non_profit_core,designation,createdBy
nonProfitCore,DesignationPlan,DesignationPlan.2.4.cdm.json/DesignationPlan,"A line item attached to a Pledge, Payment Schedule, or Campaign indicating how associated payments should be designated.",non_profit_core,designation_plan,createdBy
nonProfitCore,Disbursement,Disbursement.2.4.cdm.json/Disbursement,A Disbursement represents an Award disbursement to an individual or organizational awardee.  A Disbursement is related to a specific Award and Budget.,non_profit_core,disbursement,createdBy
nonProfitCore,DisbursementDistribution,DisbursementDistribution.2.4.cdm.json/DisbursementDistribution,"Disbursement Distribution represents the Framework(s) - i.e. Program, Project, Initiative - that contribute to funding an Award Disbursement.",non_profit_core,disbursement_distribution,createdBy
nonProfitCore,Docket,Docket.2.4.cdm.json/Docket,A Docket is used to group inquiries (LOIs) and/or requests with a specific grant/award cycle or date (usually a review/board meeting).,non_profit_core,docket,createdBy
nonProfitCore,DonorCommitment,DonorCommitment.2.4.cdm.json/DonorCommitment,Donor commitments represent the actual or prospective agreement between a donor and an organization for the donor to make a gift to the organization.,non_profit_core,donor_commitment,createdBy
nonProfitCore,Education,Education.2.4.cdm.json/Education,Education references biographical information about the educational institutions a contact attended or is attending.,non_profit_core,education,createdBy
nonProfitCore,EmploymentHistory,EmploymentHistory.2.4.cdm.json/EmploymentHistory,"Employment History represents historical and/or current information about where a contact works, volunteers or serves in some capacity at an organization.",non_profit_core,employment_history,createdBy
nonProfitCore,Indicator,Indicator.2.4.cdm.json/Indicator,An Indicator describes what will be measured to track evidence of a Result. Indicators can be qualitative or quantitative and may or may not be aggregable.,non_profit_core,indicator,createdBy
nonProfitCore,IndicatorValue,IndicatorValue.2.4.cdm.json/IndicatorValue,"An Indicator Value is a quantitative or qualitative value of measurement of an Indicator. Indicator Values may be but are not limited to baseline, target or actual values of measurement.",non_profit_core,indicator_value,createdBy
nonProfitCore,IndicatorValueUsage,IndicatorValueUsage.1.4.cdm.json/IndicatorValueUsage,Used to demonstrate a usage of a indicator value,non_profit_core,indicator_value_usage,createdBy
nonProfitCore,Membership,Membership.2.3.cdm.json/Membership,Representation of a Customer Membership.,non_profit_core,membership,createdBy
nonProfitCore,MembershipCategory,MembershipCategory.1.4.cdm.json/MembershipCategory,Represents the types of membership associated to products.,non_profit_core,membership_category,createdBy
nonProfitCore,Need,Need.1.4.cdm.json/Need,A need that is discovered during the case. May or may not be resolved during the process of work.,non_profit_core,need,createdBy
nonProfitCore,Objective,Objective.2.4.cdm.json/Objective,"An Objective represents the organization's highest priorities, strategies and/or goals that guide investments (in the case of Requests and Awards) and program delivery.",non_profit_core,objective,createdBy
nonProfitCore,OfacMatch,OfacMatch.2.4.cdm.json/OfacMatch,OFAC Match is a placeholder entity for tracking Office of Foreign Assets Control (OFAC) Specially Designated Naturals (SDN) searches and results.,non_profit_core,ofac_match,createdBy
nonProfitCore,PaymentAsset,PaymentAsset.2.4.cdm.json/PaymentAsset,"Payment Asset represents the assets associated with specific types of payments including, but not limited to, in-kind gifts, stocks and securities..",non_profit_core,payment_asset,createdBy
nonProfitCore,PaymentMethod,PaymentMethod.2.4.cdm.json/PaymentMethod,Payment Method is a placeholder entity for customizations that may be supported by an application.,non_profit_core,payment_method,createdBy
nonProfitCore,PaymentProcessor,PaymentProcessor.1.4.cdm.json/PaymentProcessor,This is a placeholder entity referenced by the Payment Method object.  It is intended to be customized with configuration data necessary to connect to a payment processor and authorize payments.,non_profit_core,payment_processor,createdBy
nonProfitCore,PaymentSchedule,PaymentSchedule.2.4.cdm.json/PaymentSchedule,"A gift transaction can be a one-time payment or a recurring payment (ie, monthly/sustainer giving). In addition, it can be a pledge (ie, promise) of a future payment or a current/received payment.",non_profit_core,payment_schedule,createdBy
nonProfitCore,PlannedGiving,PlannedGiving.2.4.cdm.json/PlannedGiving,A planned gift is a gift made during a donor's lifetime or at the time of their death that involves their estate and/or tax planning.,non_profit_core,planned_giving,createdBy
nonProfitCore,Preference,Preference.2.4.cdm.json/Preference,"Preference represents an abundance of constituent or organization information that doesn't live cleanly on an account or contact record, or that can be associated with both an Account and a Contact.",non_profit_core,preference,createdBy
nonProfitCore,ProgramItem,ProgramItem.1.4.cdm.json/ProgramItem,"This entity contains the information for a program items such as a assumptions, obligations, milestones, deliverables, decisions, or other items as needed.",non_profit_core,program_item,createdBy
nonProfitCore,ProgramItemRelationship,ProgramItemRelationship.1.4.cdm.json/ProgramItemRelationship,Records the details regarding the relationships between program items.,non_profit_core,program_item_relationship,createdBy
nonProfitCore,Recommendation,Recommendation.2.4.cdm.json/Recommendation,This is the mechanism through which Foundations provide recommendations back to a grant applicant.,non_profit_core,recommendation,createdBy
nonProfitCore,Report,Report.2.4.cdm.json/Report,"Reports represent information submitted by an awardee to the awarding entity (i.e., a Foundation) or information submitted by an authorized awarding entity individual/entity about an awardee.",non_profit_core,report,createdBy
nonProfitCore,Request,Request.2.4.cdm.json/Request,Requests represent a request from an individual or institution for funding or support. A request is more formal than an inquiry (LOI) and typically happens after an inquiry has already occurred.,non_profit_core,request,createdBy
nonProfitCore,ResourceCatalog,ResourceCatalog.1.4.cdm.json/ResourceCatalog,Catalog that contains beneficiaries that are not contacts/accounts.,non_profit_core,resource_catalog,createdBy
nonProfitCore,Result,Result.2.4.cdm.json/Result,A Result is a container that represents the changes in the context in which an organization operates..,non_profit_core,result,createdBy
nonProfitCore,Review,Review.2.4.cdm.json/Review,The assessment of a Request made by an internal staff member (or team) or an external third party individual or entity (i.e. Consultant) and all of the relevant information that needs to be tracked.,non_profit_core,review,createdBy
