cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
WorkflowClinicalProcess,ActivityDefinitionBodySite,ActivityDefinitionBodySite.1.2.cdm.json/ActivityDefinitionBodySite,Indicates the sites on the subject's body where the procedure should be performed (I.e. the target sites).,workflow_clinical_process,activity_definition_body_site,createdBy
WorkflowClinicalProcess,ActivityDefinitionContact,ActivityDefinitionContact.1.2.cdm.json/ActivityDefinitionContact,Contact details to assist a user in finding and communicating with the publisher.,workflow_clinical_process,activity_definition_contact,createdBy
WorkflowClinicalProcess,ActivityDefinitionContributor,ActivityDefinitionContributor.1.2.cdm.json/ActivityDefinitionContributor,"A contributor to the content of the asset, including authors, editors, reviewers, and endorsers.",workflow_clinical_process,activity_definition_contributor,createdBy
WorkflowClinicalProcess,ActivityDefinitionContributorContact,ActivityDefinitionContributorContact.1.2.cdm.json/ActivityDefinitionContributorContact,Contact details to assist a user in finding and communicating with the contributor.,workflow_clinical_process,activity_definition_contributor_contact,createdBy
WorkflowClinicalProcess,ActivityDefinitionDosage,ActivityDefinitionDosage.1.2.cdm.json/ActivityDefinitionDosage,,workflow_clinical_process,activity_definition_dosage,
WorkflowClinicalProcess,ActivityDefinitionDynamicValue,ActivityDefinitionDynamicValue.1.2.cdm.json/ActivityDefinitionDynamicValue,Dynamic values that will be evaluated to produce values for elements of the resulting entity.,workflow_clinical_process,activity_definition_dynamic_value,createdBy
WorkflowClinicalProcess,ActivityDefinitionJurisdiction,ActivityDefinitionJurisdiction.1.1.cdm.json/ActivityDefinitionJurisdiction,A legal or geographic region in which the activity definition is intended to be used.,workflow_clinical_process,activity_definition_jurisdiction,createdBy
WorkflowClinicalProcess,ActivityDefinitionLibrary,ActivityDefinitionLibrary.1.2.cdm.json/ActivityDefinitionLibrary,A reference to a Library entity containing any formal logic used by the asset.,workflow_clinical_process,activity_definition_library,createdBy
WorkflowClinicalProcess,ActivityDefinitionParticipant,ActivityDefinitionParticipant.1.2.cdm.json/ActivityDefinitionParticipant,Indicates who should participate in performing the action described.,workflow_clinical_process,activity_definition_participant,createdBy
WorkflowClinicalProcess,ActivityDefinitionRelatedArtifact,ActivityDefinitionRelatedArtifact.1.2.cdm.json/ActivityDefinitionRelatedArtifact,"Related artifacts such as additional documentation, justification, or bibliographic references.",workflow_clinical_process,activity_definition_related_artifact,createdBy
WorkflowClinicalProcess,ActivityDefinitionTopic,ActivityDefinitionTopic.1.2.cdm.json/ActivityDefinitionTopic,Descriptive topics related to the content of the activity. Topics provide a high-level categorization of the activity that can be useful for filtering and searching.,workflow_clinical_process,activity_definition_topic,createdBy
WorkflowClinicalProcess,ActivityDefinitionUseContext,ActivityDefinitionUseContext.1.2.cdm.json/ActivityDefinitionUseContext,The content was developed with a focus and intent of supporting the contexts that are listed. These terms may be used to assist with indexing and searching for appropriate activity definition instance,workflow_clinical_process,activity_definition_use_context,createdBy
WorkflowClinicalProcess,NutritionOrderAllergyIntolerance,NutritionOrderAllergyIntolerance.1.2.cdm.json/NutritionOrderAllergyIntolerance,A link to a record of allergies or intolerance which should be included in the nutrition order.,workflow_clinical_process,nutrition_order_allergy_intolerance,createdBy
WorkflowClinicalProcess,NutritionOrderEnteralFormulaAdministration,NutritionOrderEnteralFormulaAdministration.1.2.cdm.json/NutritionOrderEnteralFormulaAdministration,Formula administration instructions as structured data. This repeating structure allows for changing the administration rate or volume over time for both bolus and continuous feeding.,workflow_clinical_process,nutrition_order_enteral_formula_administration,createdBy
WorkflowClinicalProcess,NutritionOrderExcludeFoodModifier,NutritionOrderExcludeFoodModifier.1.2.cdm.json/NutritionOrderExcludeFoodModifier,"This modifier is used to convey order-specific modifiers about the type of food that should NOT be given. These can be derived from patient allergies, intolerance, or preferences such as No Red Meat,",workflow_clinical_process,nutrition_order_exclude_food_modifier,createdBy
WorkflowClinicalProcess,NutritionOrderFoodPreferenceModifier,NutritionOrderFoodPreferenceModifier.1.2.cdm.json/NutritionOrderFoodPreferenceModifier,"This modifier is used to convey order-specific modifiers about the type of food that should be given. These can be derived from patient allergies, intolerance, or preferences.",workflow_clinical_process,nutrition_order_food_preference_modifier,createdBy
