cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Dynamics CRM Common,Account,Account.1.4.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,dynamics_crm_common,account,createdBy
Dynamics CRM Common,AccountLeads,AccountLeads.1.4.cdm.json/AccountLeads,description.,dynamics_crm_common,account_leads,accountLeadId
Dynamics CRM Common,Activity,Activity.1.3.cdm.json/Activity,"Task performed, or to be performed, by a user. An activity is any action for which an entry can be made on a calendar.",dynamics_crm_common,activity,createdBy
Dynamics CRM Common,Appointment,Appointment.1.4.cdm.json/Appointment,Commitment representing a time interval with start/end times and duration.,dynamics_crm_common,appointment,createdBy
Dynamics CRM Common,Campaign,Campaign.1.3.cdm.json/Campaign,"Container for campaign activities and responses, sales literature, products, and lists to create, plan, execute, and track the results of a specific marketing campaign through its life.",dynamics_crm_common,campaign,createdBy
Dynamics CRM Common,CampaignActivity,CampaignActivity.1.3.cdm.json/CampaignActivity,"Task performed, or to be performed, by a user for planning or running a campaign.",dynamics_crm_common,campaign_activity,createdBy
Dynamics CRM Common,CampaignActivityItem,CampaignActivityItem.1.3.cdm.json/CampaignActivityItem,"Work item of a campaign activity, such as a list or sales literature.",dynamics_crm_common,campaign_activity_item,campaignActivityItemId
Dynamics CRM Common,CampaignItem,CampaignItem.1.3.cdm.json/CampaignItem,"Work item in a campaign, a list or sales literature.",dynamics_crm_common,campaign_item,campaignItemId
Dynamics CRM Common,CampaignResponse,CampaignResponse.1.4.cdm.json/CampaignResponse,Response from an existing or a potential new customer for a campaign.,dynamics_crm_common,campaign_response,createdBy
Dynamics CRM Common,Contact,Contact.1.4.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",dynamics_crm_common,contact,createdBy
Dynamics CRM Common,ContactLeads,ContactLeads.1.4.cdm.json/ContactLeads,,dynamics_crm_common,contact_leads,contactLeadId
Dynamics CRM Common,Email,Email.1.4.cdm.json/Email,Activity that is delivered using email protocols.,dynamics_crm_common,email,createdBy
Dynamics CRM Common,Fax,Fax.1.3.cdm.json/Fax,Activity that tracks call outcome and number of pages for a fax and optionally stores an electronic copy of the document.,dynamics_crm_common,fax,createdBy
Dynamics CRM Common,Lead,Lead.1.4.cdm.json/Lead,"Prospect or potential sales opportunity. Leads are converted into accounts, contacts, or opportunities when they are qualified. Otherwise, they are deleted or archived.",dynamics_crm_common,lead,createdBy
Dynamics CRM Common,LeadAddress,LeadAddress.1.4.cdm.json/LeadAddress,Address information for a lead.,dynamics_crm_common,lead_address,leadAddressId
Dynamics CRM Common,Letter,Letter.1.3.cdm.json/Letter,Activity that tracks the delivery of a letter. The activity can contain the electronic copy of the letter.,dynamics_crm_common,letter,createdBy
Dynamics CRM Common,MarketingList,MarketingList.1.3.cdm.json/MarketingList,Group of existing or potential customers created for a marketing campaign or other sales purposes.,dynamics_crm_common,marketing_list,createdBy
Dynamics CRM Common,MarketingListMember,MarketingListMember.1.4.cdm.json/MarketingListMember,Item in a marketing list.,dynamics_crm_common,marketing_list_member,listMemberId
Dynamics CRM Common,PhoneCall,PhoneCall.1.4.cdm.json/PhoneCall,Activity to track a telephone call.,dynamics_crm_common,phone_call,createdBy
Dynamics CRM Common,QuickCampaign,QuickCampaign.1.3.cdm.json/QuickCampaign,"System operation used to perform lengthy and asynchronous operations on large data sets, such as distributing a campaign activity or quick campaign.",dynamics_crm_common,quick_campaign,createdBy
Dynamics CRM Common,RecurringAppointment,RecurringAppointment.1.3.cdm.json/RecurringAppointment,The Master appointment of a recurring appointment series.,dynamics_crm_common,recurring_appointment,createdBy
Dynamics CRM Common,SocialActivity,SocialActivity.1.4.cdm.json/SocialActivity,For internal use only.,dynamics_crm_common,social_activity,createdBy
