cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,createdOn,Created On,Shows the date and time when the record was created. The date and time are displayed in the time zone selected in Microsoft Dynamics 365 options.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,gdpr_consent_management,contact,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,createdBy,Created By,Unique identifier of the user who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,gdpr_consent_management,contact,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,modifiedOn,Modified On,Shows the date and time when the record was last updated. The date and time are displayed in the time zone selected in Microsoft Dynamics 365 options.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,gdpr_consent_management,contact,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,modifiedBy,Modified By,Unique identifier of the user who last modified the transaction currency.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,gdpr_consent_management,contact,modified_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,createdOnBehalfBy,Created By (Delegate),Unique identifier of the delegate user who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,gdpr_consent_management,contact,created_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,modifiedOnBehalfBy,Modified By (Delegate),Unique identifier of the delegate user who modified the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,gdpr_consent_management,contact,modified_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,gdpr_consent_management,contact,overridden_created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,importSequenceNumber,Import Sequence Number,Sequence number of the import that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,gdpr_consent_management,contact,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,ownerId,Owner,Owner Id,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,gdpr_consent_management,contact,owner_id,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,Contact.1.1.cdm.json/Contact,Contact,ownerIdType,Owner Type,Owner Id Type,means.entityName,int64,CdmDataFormat.INT64,False,,False,,,,,gdpr_consent_management,contact,owner_id_type,,,,BIGINT,BIGINT,INT64,Int64,category:entityName|role:dimension
