cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Property and Casualty Data Model CDM manifest,Account,Account.1.0.1.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,propertyand_casualty_data_model_cd_mmanifest,account,accountId
Property and Casualty Data Model CDM manifest,Contact,Contact.1.0.1.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",propertyand_casualty_data_model_cd_mmanifest,contact,contactId
Property and Casualty Data Model CDM manifest,Document,Document.1.0.1.cdm.json/Document,Correspondence document between insurance personas about insurance items.,propertyand_casualty_data_model_cd_mmanifest,document,documentId
Property and Casualty Data Model CDM manifest,Affiliation,Affiliation.1.0.1.cdm.json/Affiliation,A company that contracted the Insurer (sometime via an Agency/Agent) to issue policies under a set of product’s terms and conditions.,propertyand_casualty_data_model_cd_mmanifest,affiliation,affiliationId
Property and Casualty Data Model CDM manifest,Agency,Agency.1.0.1.cdm.json/Agency,An office or intermediary where insurance is sold and can be independent or an Insurer office.,propertyand_casualty_data_model_cd_mmanifest,agency,agencyId
Property and Casualty Data Model CDM manifest,Agent,Agent.1.0.1.cdm.json/Agent,"Information about the Agent, or other insurance representative who has responsibility for selling insurance.",propertyand_casualty_data_model_cd_mmanifest,agent,agentId
Property and Casualty Data Model CDM manifest,AgentAgency,AgentAgency.1.0.1.cdm.json/AgentAgency,Information about the relationship between the Agency and the Agent.,propertyand_casualty_data_model_cd_mmanifest,agent_agency,agentagencyId
Property and Casualty Data Model CDM manifest,AgentInsurer,AgentInsurer.1.0.1.cdm.json/AgentInsurer,Information about the relationship between the Insurer and the Agent.,propertyand_casualty_data_model_cd_mmanifest,agent_insurer,agentinsurerId
Property and Casualty Data Model CDM manifest,AssetDetail,AssetDetail.1.0.1.cdm.json/AssetDetail,"Details (attributes) extensions to an Insured Asset which varies based on Line of business. e.g., vehicle for Auto insurance, apartment for home insurance.",propertyand_casualty_data_model_cd_mmanifest,asset_detail,assetdetailId
Property and Casualty Data Model CDM manifest,AssetDetailCatalog,AssetDetailCatalog.1.0.1.cdm.json/AssetDetailCatalog,A definition of an asset detail (attribute) which is later used when extending a Policy Insured Asset’s detail.,propertyand_casualty_data_model_cd_mmanifest,asset_detail_catalog,assetdetailcatalogId
Property and Casualty Data Model CDM manifest,AuthorizedJurisdiction,AuthorizedJurisdiction.1.0.1.cdm.json/AuthorizedJurisdiction,Country and State where business is authorized/not authorized to be conducted.,propertyand_casualty_data_model_cd_mmanifest,authorized_jurisdiction,authorizedjurisdictionId
Property and Casualty Data Model CDM manifest,BrokerAgency,BrokerAgency.1.0.1.cdm.json/BrokerAgency,Information about the relationship between the broker and its Agency.,propertyand_casualty_data_model_cd_mmanifest,broker_agency,brokeragencyId
Property and Casualty Data Model CDM manifest,CauseOfLoss,CauseOfLoss.1.0.1.cdm.json/CauseOfLoss,"The perils that can trigger damage or loss. Relates to Policy's Coverages, Exclusions and Inclusions.",propertyand_casualty_data_model_cd_mmanifest,cause_of_loss,causeoflossId
Property and Casualty Data Model CDM manifest,CauseOfLossCatalog,CauseOfLossCatalog.1.0.1.cdm.json/CauseOfLossCatalog,The inventory of all cause of loss.,propertyand_casualty_data_model_cd_mmanifest,cause_of_loss_catalog,causeoflosscatalogId
Property and Casualty Data Model CDM manifest,CauseOfLossLOB,CauseOfLossLOB.1.0.1.cdm.json/CauseOfLossLOB,Definition of cause of loss related to Coverages/Exclusions/Inclusion for a Line of business. One or more LOBs comprise a product which is subsequently used to create a Policy.,propertyand_casualty_data_model_cd_mmanifest,cause_of_loss_lob,causeoflosslobId
Property and Casualty Data Model CDM manifest,Claim,Claim.1.0.1.cdm.json/Claim,A demand raised by a customer with an active Insurance Policy to recover in the event of a loss that is covered under their Policy.,propertyand_casualty_data_model_cd_mmanifest,claim,claimId
Property and Casualty Data Model CDM manifest,ClaimRevision,ClaimRevision.1.0.1.cdm.json/ClaimRevision,Captures any updates that happen to the claim incident.,propertyand_casualty_data_model_cd_mmanifest,claim_revision,claimrevisionId
Property and Casualty Data Model CDM manifest,Country,Country.1.0.1.cdm.json/Country,Generic country table.,propertyand_casualty_data_model_cd_mmanifest,country,countryId
Property and Casualty Data Model CDM manifest,Coverage,Coverage.1.0.1.cdm.json/Coverage,"Protection provided by the Insurer and the level of indemnification provided under an Insurance Policy, example include liability, earthquake, or collision.",propertyand_casualty_data_model_cd_mmanifest,coverage,coverageId
