cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,interactionId,Interaction Id,Unique identifier of the interaction.,,string,CdmDataFormat.STRING,False,,False,,,,,interactions,activity_contact_dispatched,interaction_id,,,,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,id,Account,Account,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,MarketingSolution,CustomerJourney,id,local:/Marketing/MarketingSolution/MarketingSolution.manifest.cdm.json,interactions,activity_contact_dispatched,id,marketing_solution,customer_journey,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,organizationId,Organization ID,Organization ID,,string,CdmDataFormat.STRING,False,,True,electronicMedicalRecordsAccelerator,Organization,id,local:/manifests/electronicMedicalRecordsAccelerator.manifest.cdm.json,interactions,activity_contact_dispatched,organization_id,electronic_medical_records_accelerator,organization,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,activityId,Activity ID,Activity ID,,string,CdmDataFormat.STRING,False,,True,electronicMedicalRecordsAccelerator,Activity,id,local:/manifests/electronicMedicalRecordsAccelerator.manifest.cdm.json,interactions,activity_contact_dispatched,activity_id,electronic_medical_records_accelerator,activity,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,customerJourneyId,Customer Journey ID,Customer Journey ID,,string,CdmDataFormat.STRING,False,,True,MarketingSolution,CustomerJourney,id,local:/Marketing/MarketingSolution/MarketingSolution.manifest.cdm.json,interactions,activity_contact_dispatched,customer_journey_id,marketing_solution,customer_journey,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,contactId,Contact ID,Contact ID,,string,CdmDataFormat.STRING,False,,True,CloudforSustainabilitySharedDataModel,Contact,id,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.manifest.cdm.json,interactions,activity_contact_dispatched,contact_id,cloudfor_sustainability_shared_data_model,contact,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,accountId,Account ID,Account ID,,string,CdmDataFormat.STRING,False,,True,CloudforSustainabilitySharedDataModel,Account,id,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.manifest.cdm.json,interactions,activity_contact_dispatched,account_id,cloudfor_sustainability_shared_data_model,account,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,workflowId,Workflow ID,Workflow ID,,string,CdmDataFormat.STRING,False,,False,,,,,interactions,activity_contact_dispatched,workflow_id,,,,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,customerJourneyIterationId,Customer journey iteration ID,Customer journey iteration ID,,string,CdmDataFormat.STRING,False,,True,MarketingSolution,CustomerJourneyIteration,id,local:/Marketing/MarketingSolution/MarketingSolution.manifest.cdm.json,interactions,activity_contact_dispatched,customer_journey_iteration_id,marketing_solution,customer_journey_iteration,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,interactionType,Interaction type,Interaction type,,string,CdmDataFormat.STRING,False,,False,,,,,interactions,activity_contact_dispatched,interaction_type,,,,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactDispatched.0.9.2.cdm.json/ActivityContactDispatched,ActivityContactDispatched,timestamp,Timestamp,Timestamp,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,interactions,activity_contact_dispatched,timestamp,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,interactionId,Interaction Id,Unique identifier of the interaction.,,string,CdmDataFormat.STRING,False,,False,,,,,interactions,activity_contact_processing_failed,interaction_id,,,,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,id,Account,Account,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,MarketingSolution,CustomerJourney,id,local:/Marketing/MarketingSolution/MarketingSolution.manifest.cdm.json,interactions,activity_contact_processing_failed,id,marketing_solution,customer_journey,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,organizationId,Organization ID,Organization ID,,string,CdmDataFormat.STRING,False,,True,electronicMedicalRecordsAccelerator,Organization,id,local:/manifests/electronicMedicalRecordsAccelerator.manifest.cdm.json,interactions,activity_contact_processing_failed,organization_id,electronic_medical_records_accelerator,organization,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,activityId,Activity ID,Activity ID,,string,CdmDataFormat.STRING,False,,True,electronicMedicalRecordsAccelerator,Activity,id,local:/manifests/electronicMedicalRecordsAccelerator.manifest.cdm.json,interactions,activity_contact_processing_failed,activity_id,electronic_medical_records_accelerator,activity,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,customerJourneyId,Customer Journey ID,Customer Journey ID,,string,CdmDataFormat.STRING,False,,True,MarketingSolution,CustomerJourney,id,local:/Marketing/MarketingSolution/MarketingSolution.manifest.cdm.json,interactions,activity_contact_processing_failed,customer_journey_id,marketing_solution,customer_journey,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,contactId,Contact ID,Contact ID,,string,CdmDataFormat.STRING,False,,True,CloudforSustainabilitySharedDataModel,Contact,id,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.manifest.cdm.json,interactions,activity_contact_processing_failed,contact_id,cloudfor_sustainability_shared_data_model,contact,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,accountId,Account ID,Account ID,,string,CdmDataFormat.STRING,False,,True,CloudforSustainabilitySharedDataModel,Account,id,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.manifest.cdm.json,interactions,activity_contact_processing_failed,account_id,cloudfor_sustainability_shared_data_model,account,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,workflowId,Workflow ID,Workflow ID,,string,CdmDataFormat.STRING,False,,False,,,,,interactions,activity_contact_processing_failed,workflow_id,,,,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,customerJourneyIterationId,Customer journey iteration ID,Customer journey iteration ID,,string,CdmDataFormat.STRING,False,,True,MarketingSolution,CustomerJourneyIteration,id,local:/Marketing/MarketingSolution/MarketingSolution.manifest.cdm.json,interactions,activity_contact_processing_failed,customer_journey_iteration_id,marketing_solution,customer_journey_iteration,id,STRING,VARCHAR,STRING,object,
interactions,local:/core/applicationCommon/foundationCommon/crmCommon/solutions/marketing/interactions/interactions.1.3.manifest.cdm.json,ActivityContactProcessingFailed.0.9.2.cdm.json/ActivityContactProcessingFailed,ActivityContactProcessingFailed,interactionType,Interaction type,Interaction type,,string,CdmDataFormat.STRING,False,,False,,,,,interactions,activity_contact_processing_failed,interaction_type,,,,STRING,VARCHAR,STRING,object,
