cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,accommodationtypeId,,,,unknown,CdmDataFormat.UNKNOWN,True,False,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,accommodationtype_id,,,,,,,,
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,createdOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,created_on,,,,,,,,
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,modifiedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,modified_on,,,,,,,,
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,statecode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,statecode,,,,,,,,
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,statuscode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,statuscode,,,,,,,,
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,importSequenceNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,import_sequence_number,,,,,,,,
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,overriddenCreatedOn,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,overridden_created_on,,,,,,,,
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,timeZoneRuleVersionNumber,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,time_zone_rule_version_number,,,,,,,,
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,UTCConversionTimeZoneCode,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,utc_conversion_time_zone_code,,,,,,,,
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,AccommodationType.1.0.cdm.json/AccommodationType,AccommodationType,name,,,,unknown,CdmDataFormat.UNKNOWN,False,,False,,,,,cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,name,,,,,,,,
