cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
EventManagement,Account,Account.1.2.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,event_management,account,createdBy
EventManagement,Contact,Contact.1.2.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",event_management,contact,createdBy
EventManagement,Lead,Lead.1.2.cdm.json/Lead,"Prospect or potential sales opportunity. Leads are converted into accounts, contacts, or opportunities when they are qualified. Otherwise, they are deleted or archived.",event_management,lead,createdBy
EventManagement,AttendeePass,AttendeePass.1.2.cdm.json/AttendeePass,,event_management,attendee_pass,createdBy
EventManagement,AuthenticationSettings,AuthenticationSettings.1.1.cdm.json/AuthenticationSettings,,event_management,authentication_settings,createdBy
EventManagement,EventMainBusinessProcessFlow,EventMainBusinessProcessFlow.1.2.cdm.json/EventMainBusinessProcessFlow,Base entity for the event main business process flow,event_management,event_main_business_process_flow,activeStageId
EventManagement,Bucket,Bucket.1.1.cdm.json/Bucket,,event_management,bucket,createdBy
EventManagement,Building,Building.1.2.cdm.json/Building,A single venue can be comprised of zero or more buildings where event activities are held. Each building in turn is comprised of zero or more rooms where event activities are held.,event_management,building,createdBy
EventManagement,CheckIn,CheckIn.1.2.cdm.json/CheckIn,,event_management,check_in,createdBy
EventManagement,CustomRegistrationField,CustomRegistrationField.1.2.cdm.json/CustomRegistrationField,,event_management,custom_registration_field,createdBy
EventManagement,EntityCounter,EntityCounter.1.1.cdm.json/EntityCounter,,event_management,entity_counter,createdBy
EventManagement,Event,Event.1.2.cdm.json/Event,Container to manage and plan marketing activities that take place at a specific venue or location,event_management,event,createdBy
EventManagement,EventAdministration,EventAdministration.1.2.cdm.json/EventAdministration,Event administration entity,event_management,event_administration,createdBy
EventManagement,EventCustomRegistrationField,EventCustomRegistrationField.1.2.cdm.json/EventCustomRegistrationField,,event_management,event_custom_registration_field,createdBy
EventManagement,EventManagementActivity,EventManagementActivity.1.1.cdm.json/EventManagementActivity,,event_management,event_management_activity,createdBy
EventManagement,EventManagementConfiguration,EventManagementConfiguration.1.2.cdm.json/EventManagementConfiguration,,event_management,event_management_configuration,createdBy
