cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,financialActivityId,Financial Activity ID,The surrogate key of the record,,string,CdmDataFormat.STRING,True,False,False,,,,,financial_common,financial_activity,financial_activity_id,,,,STRING,VARCHAR,STRING,object,
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,mainAccountCategoryKey,Main Account Category Key,"The categorization of the main account, by which accounting aspects such as account type are defined",,string,CdmDataFormat.STRING,False,,True,Main,MainAccountCategory,id,local:/core/operationsCommon/Tables/Finance/Ledger/Main/Main.manifest.cdm.json,financial_common,financial_activity,main_account_category_key,main,main_account_category,id,STRING,VARCHAR,STRING,object,
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,mainAccountCategoryId,Main Account Category ID,The surrogate key of the main account category record,,string,CdmDataFormat.STRING,False,,True,Main,MainAccountCategory,id,local:/core/operationsCommon/Tables/Finance/Ledger/Main/Main.manifest.cdm.json,financial_common,financial_activity,main_account_category_id,main,main_account_category,id,STRING,VARCHAR,STRING,object,
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,name,Name,A name for the company.,means.identity.name|means.identity.company.name,string,CdmDataFormat.STRING,False,,False,,,,,financial_common,financial_activity,name,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:company|role:dimension|type:name
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,description,Description,The description of the main account category,means.reference.description,string,CdmDataFormat.STRING,False,,False,,,,,financial_common,financial_activity,description,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:description|role:dimension
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,isClosed,Is Closed,Determines whether accounts of this category are closed for new transactions,,boolean,CdmDataFormat.BOOLEAN,False,,False,,,,,financial_common,financial_activity,is_closed,,,,BOOLEAN,BOOLEAN,BOOL,boolean,
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,accountType,Account Type,"The common account type for accounts in this category, such as revenue or liability",,int32,CdmDataFormat.INT32,False,,False,,,,,financial_common,financial_activity,account_type,,,,INT,INTEGER,INT64,Int32,
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,accountType_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,financial_common,financial_activity,account_type_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,mainAccountKey,Main Account Key,The main account containing this financial activity,,string,CdmDataFormat.STRING,False,,True,Main,MainAccount,id,local:/core/operationsCommon/Tables/Finance/FinancialDimensions/Main/Main.manifest.cdm.json,financial_common,financial_activity,main_account_key,main,main_account,id,STRING,VARCHAR,STRING,object,
financialCommon,local:/core/applicationCommon/foundationCommon/financialCommon/financialCommon.1.4.manifest.cdm.json,FinancialActivity.1.0.cdm.json/FinancialActivity,FinancialActivity,mainAccountId,MainAccountId,The surrogate key of the main account record,,string,CdmDataFormat.STRING,False,,True,Main,MainAccount,id,local:/core/operationsCommon/Tables/Finance/FinancialDimensions/Main/Main.manifest.cdm.json,financial_common,financial_activity,main_account_id,main,main_account,id,STRING,VARCHAR,STRING,object,
