cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
SyncAgentCDMUpdates,Account,Account.1.1.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,sync_agent_cdm_updates,account,createdBy
SyncAgentCDMUpdates,Contact,Contact.1.1.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",sync_agent_cdm_updates,contact,createdBy
SyncAgentCDMUpdates,AllergyIntolerance,AllergyIntolerance.1.1.cdm.json/AllergyIntolerance,"Risk of harmful or undesirable, physiological response which is unique to an individual and associated with exposure to a substance.",sync_agent_cdm_updates,allergy_intolerance,createdBy
SyncAgentCDMUpdates,AppointmentEMR,AppointmentEMR.1.2.cdm.json/AppointmentEMR,"A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time. This may result in one or more Encounter(s).",sync_agent_cdm_updates,appointment_emr,createdBy
SyncAgentCDMUpdates,AppointmentEMRSlot,AppointmentEMRSlot.1.2.cdm.json/AppointmentEMRSlot,The slots from the participants' schedules that will be filled by the appointment.,sync_agent_cdm_updates,appointment_emr_slot,createdBy
SyncAgentCDMUpdates,CarePlan,CarePlan.1.2.cdm.json/CarePlan,"Describes the intention of how one or more practitioners intend to deliver care for a particular patient, group or community for a period of time, possibly limited to care for a specific condition",sync_agent_cdm_updates,care_plan,createdBy
SyncAgentCDMUpdates,CareTeam,CareTeam.1.2.cdm.json/CareTeam,The Care Team includes all the people and organizations who plan to participate in the coordination and delivery of care for a patient.,sync_agent_cdm_updates,care_team,createdBy
SyncAgentCDMUpdates,CareTeamParticipant,CareTeamParticipant.1.2.cdm.json/CareTeamParticipant,Identifies all people and organizations who are expected to be involved in the care team.,sync_agent_cdm_updates,care_team_participant,createdBy
SyncAgentCDMUpdates,Claim,Claim.1.2.cdm.json/Claim,"A provider issued list of services and products provided, or to be provided, to a patient which is provided to an insurer for payment recovery.",sync_agent_cdm_updates,claim,createdBy
SyncAgentCDMUpdates,Condition,Condition.1.2.cdm.json/Condition,"A clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.",sync_agent_cdm_updates,condition,createdBy
SyncAgentCDMUpdates,Device,Device.1.2.cdm.json/Device,This entity identifies an instance or a type of a manufactured item that is used in the provision of healthcare without being substantially changed through that activity.,sync_agent_cdm_updates,device,createdBy
SyncAgentCDMUpdates,DiagnosticReport,DiagnosticReport.1.2.cdm.json/DiagnosticReport,,sync_agent_cdm_updates,diagnostic_report,createdBy
SyncAgentCDMUpdates,Encounter,Encounter.1.2.cdm.json/Encounter,An interaction between a patient and healthcare provider(s) for the purpose of providing healthcare service(s) or assessing the health status of a patient.,sync_agent_cdm_updates,encounter,createdBy
SyncAgentCDMUpdates,Location,Location.1.2.cdm.json/Location,"Details and position information for a physical place where services are provided and resources and participants may be stored, found, contained or accommodated.",sync_agent_cdm_updates,location,createdBy
SyncAgentCDMUpdates,Medication,Medication.1.2.cdm.json/Medication,Medications,sync_agent_cdm_updates,medication,createdBy
SyncAgentCDMUpdates,MedicationRequest,MedicationRequest.1.2.cdm.json/MedicationRequest,An order or request for both supply of the medication and the instructions for administration of the medication to a patient.,sync_agent_cdm_updates,medication_request,createdBy
SyncAgentCDMUpdates,Observation,Observation.1.2.cdm.json/Observation,"Measurements and simple assertions made about a patient, device or other subject.",sync_agent_cdm_updates,observation,createdBy
SyncAgentCDMUpdates,Procedure,Procedure.1.2.cdm.json/Procedure,"An action that is or was performed on a patient. This can be a physical intervention like an operation, or less invasive like counseling or hypnotherapy.",sync_agent_cdm_updates,procedure,createdBy
SyncAgentCDMUpdates,RelatedPerson,RelatedPerson.1.2.cdm.json/RelatedPerson,"Information about a person that is involved in the care for a patient, but who is not the target of healthcare, nor has a formal responsibility in the care process.",sync_agent_cdm_updates,related_person,createdBy
SyncAgentCDMUpdates,Schedule,Schedule.1.2.cdm.json/Schedule,A container for slots of time that may be available for booking appointments.,sync_agent_cdm_updates,schedule,createdBy
SyncAgentCDMUpdates,Slot,Slot.1.2.cdm.json/Slot,A slot of time on a schedule that may be available for booking appointments.,sync_agent_cdm_updates,slot,createdBy
