cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
ClinicalProcedure,ProcedureBasedOn,ProcedureBasedOn.1.2.cdm.json/ProcedureBasedOn,A reference to a resource that contains details of the request for this procedure.,clinical_procedure,procedure_based_on,createdBy
ClinicalProcedure,ProcedureBodySite,ProcedureBodySite.1.2.cdm.json/ProcedureBodySite,Detailed and structured anatomical location information. Multiple locations are allowed - e.g. multiple punch biopsies of a lesion.,clinical_procedure,procedure_body_site,createdBy
ClinicalProcedure,ProcedureCode,ProcedureCode.1.1.cdm.json/ProcedureCode,,clinical_procedure,procedure_code,createdBy
ClinicalProcedure,ProcedureComplication,ProcedureComplication.1.2.cdm.json/ProcedureComplication,"Any complications that occurred during the procedure, or in the immediate post-performance period.",clinical_procedure,procedure_complication,createdBy
ClinicalProcedure,ProcedureComplicationDetail,ProcedureComplicationDetail.1.2.cdm.json/ProcedureComplicationDetail,"Any complications that occurred during the procedure, or in the immediate post-performance period.",clinical_procedure,procedure_complication_detail,createdBy
ClinicalProcedure,ProcedureDefinition,ProcedureDefinition.1.2.cdm.json/ProcedureDefinition,"A protocol, guideline, order set or other definition that was adhered to in whole or in part by this procedure.",clinical_procedure,procedure_definition,createdBy
ClinicalProcedure,ProcedureFocalDevice,ProcedureFocalDevice.1.2.cdm.json/ProcedureFocalDevice,"A device that is implanted, removed or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.",clinical_procedure,procedure_focal_device,createdBy
ClinicalProcedure,ProcedureFollowUp,ProcedureFollowUp.1.1.cdm.json/ProcedureFollowUp,If the procedure required specific follow up - e.g. removal of sutures. The followup may be represented as a simple note.,clinical_procedure,procedure_follow_up,createdBy
ClinicalProcedure,ProcedurePartOf,ProcedurePartOf.1.2.cdm.json/ProcedurePartOf,A larger event of which this particular procedure is a component or step.,clinical_procedure,procedure_part_of,createdBy
ClinicalProcedure,ProcedurePerformer,ProcedurePerformer.1.2.cdm.json/ProcedurePerformer,Limited to 'real' people rather than equipment.,clinical_procedure,procedure_performer,createdBy
ClinicalProcedure,ProcedureReason,ProcedureReason.1.2.cdm.json/ProcedureReason,"The coded reason why the procedure was performed. This may be coded entity of some type, or may simply be present as text.",clinical_procedure,procedure_reason,createdBy
ClinicalProcedure,ProcedureReasonReference,ProcedureReasonReference.1.2.cdm.json/ProcedureReasonReference,The condition that is the reason why the procedure was performed.,clinical_procedure,procedure_reason_reference,createdBy
ClinicalProcedure,ProcedureReport,ProcedureReport.1.2.cdm.json/ProcedureReport,"Procedure report could represent histology result, pathology report, surgical report, etc.",clinical_procedure,procedure_report,createdBy
ClinicalProcedure,ProcedureRequestBasedOn,ProcedureRequestBasedOn.1.2.cdm.json/ProcedureRequestBasedOn,Plan/proposal/order fulfilled by this request.,clinical_procedure,procedure_request_based_on,createdBy
ClinicalProcedure,ProcedureRequestBodySite,ProcedureRequestBodySite.1.2.cdm.json/ProcedureRequestBodySite,Anatomic location where the procedure should be performed. This is the target site.,clinical_procedure,procedure_request_body_site,createdBy
ClinicalProcedure,ProcedureRequestCategory,ProcedureRequestCategory.1.2.cdm.json/ProcedureRequestCategory,"A code that classifies the procedure for searching, sorting and display purposes (e.g. ""Surgical Procedure"").",clinical_procedure,procedure_request_category,createdBy
ClinicalProcedure,ProcedureRequestDefinition,ProcedureRequestDefinition.1.2.cdm.json/ProcedureRequestDefinition,Protocol or definition followed by this request.,clinical_procedure,procedure_request_definition,createdBy
ClinicalProcedure,ProcedureRequestReasonCode,ProcedureRequestReasonCode.1.2.cdm.json/ProcedureRequestReasonCode,An explanation or justification for why this diagnostic investigation is being requested in coded or textual form. This is often for billing purposes. May relate to the resources referred to in supp,clinical_procedure,procedure_request_reason_code,createdBy
ClinicalProcedure,ProcedureRequestReasonReference,ProcedureRequestReasonReference.1.1.cdm.json/ProcedureRequestReasonReference,Indicates another resource that provides a justification for why this diagnostic investigation is being requested. May relate to the resources referred to in supporting Information.,clinical_procedure,procedure_request_reason_reference,createdBy
ClinicalProcedure,ProcedureRequestRelevantHistory,ProcedureRequestRelevantHistory.1.2.cdm.json/ProcedureRequestRelevantHistory,Key events in the history of the request.,clinical_procedure,procedure_request_relevant_history,createdBy
ClinicalProcedure,ProcedureRequestReplace,ProcedureRequestReplace.1.2.cdm.json/ProcedureRequestReplace,The request takes the place of the referenced completed or terminated request(s).,clinical_procedure,procedure_request_replace,createdBy
ClinicalProcedure,ProcedureRequestSpecimen,ProcedureRequestSpecimen.1.2.cdm.json/ProcedureRequestSpecimen,One or more specimens that the laboratory procedure will use.,clinical_procedure,procedure_request_specimen,createdBy
ClinicalProcedure,ProcedureRequestSupportingInformation,ProcedureRequestSupportingInformation.1.2.cdm.json/ProcedureRequestSupportingInformation,Additional clinical information about the patient or specimen that may influence the procedure or diagnostics or their interpretations.,clinical_procedure,procedure_request_supporting_information,createdBy
ClinicalProcedure,ProcedureUsedCode,ProcedureUsedCode.1.2.cdm.json/ProcedureUsedCode,Identifies coded items that were used as part of the procedure.,clinical_procedure,procedure_used_code,createdBy
ClinicalProcedure,ProcedureUsedReference,ProcedureUsedReference.1.2.cdm.json/ProcedureUsedReference,"Identifies medications, devices and any other substance used as part of the procedure.",clinical_procedure,procedure_used_reference,createdBy
