cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
AdministrationCommunication,Communication,Communication.1.2.cdm.json/Communication,"An occurrence of information being transmitted; e.g. an alert that was sent to a responsible provider, a public health agency was notified about a reportable condition.",administration_communication,communication,createdBy
AdministrationCommunication,CommunicationRequestBasedOn,CommunicationRequestBasedOn.1.2.cdm.json/CommunicationRequestBasedOn,A plan or proposal that is fulfilled in whole or in part by this request.,administration_communication,communication_request_based_on,createdBy
AdministrationCommunication,CommunicationRequestCategory,CommunicationRequestCategory.1.2.cdm.json/CommunicationRequestCategory,"The type of message to be sent such as alert, notification, reminder, instruction, etc.",administration_communication,communication_request_category,createdBy
AdministrationCommunication,CommunicationRequestMedium,CommunicationRequestMedium.1.2.cdm.json/CommunicationRequestMedium,"A channel that was used for this communication (e.g. email, fax).",administration_communication,communication_request_medium,createdBy
AdministrationCommunication,CommunicationRequestPayload,CommunicationRequestPayload.1.2.cdm.json/CommunicationRequestPayload,"Text, attachment(s), or resource(s) to be communicated to the recipient.",administration_communication,communication_request_payload,createdBy
AdministrationCommunication,CommunicationRequestReasonReference,CommunicationRequestReasonReference.1.2.cdm.json/CommunicationRequestReasonReference,Indicates another resource whose existence justifies this request.,administration_communication,communication_request_reason_reference,createdBy
AdministrationCommunication,CommunicationRequestReason,CommunicationRequestReason.1.2.cdm.json/CommunicationRequestReason,Describes why the request is being made in coded or textual form.,administration_communication,communication_request_reason,createdBy
AdministrationCommunication,CommunicationRequestRecipient,CommunicationRequestRecipient.1.2.cdm.json/CommunicationRequestRecipient,"The entity (e.g. person, organization, clinical information system, device, group, or care team) which is the intended target of the communication.",administration_communication,communication_request_recipient,createdBy
AdministrationCommunication,CommunicationRequestReplace,CommunicationRequestReplace.1.1.cdm.json/CommunicationRequestReplace,Completed or terminated request(s) whose function is taken by this new request.,administration_communication,communication_request_replace,createdBy
AdministrationCommunication,CommunicationRequestTopic,CommunicationRequestTopic.1.2.cdm.json/CommunicationRequestTopic,The entities which were related to producing this communication request.,administration_communication,communication_request_topic,createdBy
