cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
ClinicalCareTeam,CarePlanActivity,CarePlanActivity.1.2.cdm.json/CarePlanActivity,"Identifies a planned action to occur as part of the plan. For example, a medication to be used, lab tests to perform, self-monitoring, education, etc.",clinical_care_team,care_plan_activity,createdBy
ClinicalCareTeam,CarePlanActivityGoal,CarePlanActivityGoal.1.2.cdm.json/CarePlanActivityGoal,Internal reference that identifies the goals that this activity is intended to contribute towards meeting.,clinical_care_team,care_plan_activity_goal,createdBy
ClinicalCareTeam,CarePlanActivityOutcome,CarePlanActivityOutcome.1.2.cdm.json/CarePlanActivityOutcome,"Identifies the outcome at the point when the status of the activity is assessed. For example, the outcome of an education activity could be patient understands (or not).",clinical_care_team,care_plan_activity_outcome,createdBy
ClinicalCareTeam,CarePlanActivityOutcomeReference,CarePlanActivityOutcomeReference.1.2.cdm.json/CarePlanActivityOutcomeReference,Details of the outcome or action resulting from the activity.,clinical_care_team,care_plan_activity_outcome_reference,createdBy
ClinicalCareTeam,CarePlanActivityPerformer,CarePlanActivityPerformer.1.1.cdm.json/CarePlanActivityPerformer,Identifies who's expected to be involved in the activity.,clinical_care_team,care_plan_activity_performer,createdBy
ClinicalCareTeam,CarePlanActivityReason,CarePlanActivityReason.1.2.cdm.json/CarePlanActivityReason,Provides the rationale that drove the inclusion of this particular activity as part of the plan or the reason why the activity was prohibited.,clinical_care_team,care_plan_activity_reason,createdBy
ClinicalCareTeam,CarePlanActivityReasonCode,CarePlanActivityReasonCode.1.2.cdm.json/CarePlanActivityReasonCode,Provides the rationale that drove the inclusion of this particular activity as part of the plan or the reason why the activity was prohibited.,clinical_care_team,care_plan_activity_reason_code,createdBy
ClinicalCareTeam,CarePlanActivityReasonReference,CarePlanActivityReasonReference.1.2.cdm.json/CarePlanActivityReasonReference,Provides the health condition(s) that drove the inclusion of this particular activity as part of the plan.,clinical_care_team,care_plan_activity_reason_reference,createdBy
ClinicalCareTeam,CarePlanAddresses,CarePlanAddresses.1.2.cdm.json/CarePlanAddresses,Identifies the conditions/problems/concerns/diagnoses/etc. whose management and/or mitigation are handled by this plan.,clinical_care_team,care_plan_addresses,createdBy
ClinicalCareTeam,CarePlanAuthor,CarePlanAuthor.1.2.cdm.json/CarePlanAuthor,Identifies the individual(s) or organization who is responsible for the content of the care plan.,clinical_care_team,care_plan_author,createdBy
ClinicalCareTeam,CarePlanBasedOn,CarePlanBasedOn.1.2.cdm.json/CarePlanBasedOn,A care plan that is fulfilled in whole or in part by this care plan.,clinical_care_team,care_plan_based_on,createdBy
ClinicalCareTeam,CarePlanCareTeam,CarePlanCareTeam.1.2.cdm.json/CarePlanCareTeam,Identifies all people and organizations who are expected to be involved in the care envisioned by this plan.,clinical_care_team,care_plan_care_team,createdBy
ClinicalCareTeam,CarePlanCategory,CarePlanCategory.1.2.cdm.json/CarePlanCategory,"Identifies what ""kind"" of plan this is to support differentiation between multiple co-existing plans; e.g. ""Home health"", ""psychiatric"", ""asthma"", ""disease management"", ""wellness plan"", etc.",clinical_care_team,care_plan_category,createdBy
ClinicalCareTeam,CarePlanDefinition,CarePlanDefinition.1.2.cdm.json/CarePlanDefinition,"Identifies the protocol, questionnaire, guideline or other specification the care plan should be conducted in accordance with.",clinical_care_team,care_plan_definition,createdBy
ClinicalCareTeam,CarePlanGoal,CarePlanGoal.1.2.cdm.json/CarePlanGoal,Describes the intended objective(s) of carrying out the care plan.,clinical_care_team,care_plan_goal,createdBy
ClinicalCareTeam,CarePlanGoalMeasure,CarePlanGoalMeasure.1.1.cdm.json/CarePlanGoalMeasure,,clinical_care_team,care_plan_goal_measure,createdBy
ClinicalCareTeam,CarePlanGoalOutcome,CarePlanGoalOutcome.1.2.cdm.json/CarePlanGoalOutcome,,clinical_care_team,care_plan_goal_outcome,createdBy
ClinicalCareTeam,CarePlanPartOf,CarePlanPartOf.1.2.cdm.json/CarePlanPartOf,A larger care plan of which this particular care plan is a component or step.,clinical_care_team,care_plan_part_of,createdBy
ClinicalCareTeam,CarePlanReplace,CarePlanReplace.1.2.cdm.json/CarePlanReplace,Completed or terminated care plan whose function is taken by this new care plan.,clinical_care_team,care_plan_replace,createdBy
ClinicalCareTeam,CarePlanSupportInfo,CarePlanSupportInfo.1.2.cdm.json/CarePlanSupportInfo,"Identifies portions of the patient's record that specifically influenced the formation of the plan. These might include co-morbidities, recent procedures, limitations, recent assessments, etc.",clinical_care_team,care_plan_support_info,createdBy
ClinicalCareTeam,CareTeamCategory,CareTeamCategory.1.2.cdm.json/CareTeamCategory,"Identifies what kind of team. This is to support differentiation between multiple co-existing teams, such as care plan team, episode of care team, longitudinal care team.",clinical_care_team,care_team_category,createdBy
ClinicalCareTeam,CareTeamManagingOrganization,CareTeamManagingOrganization.1.2.cdm.json/CareTeamManagingOrganization,The organization responsible for the care team.,clinical_care_team,care_team_managing_organization,createdBy
ClinicalCareTeam,CareTeamParticipant,CareTeamParticipant.1.2.cdm.json/CareTeamParticipant,Identifies all people and organizations who are expected to be involved in the care team.,clinical_care_team,care_team_participant,createdBy
ClinicalCareTeam,CareTeamParticipantRole,CareTeamParticipantRole.1.1.cdm.json/CareTeamParticipantRole,"Indicates specific responsibility of an individual within the care team, such as ""Primary care physician"", ""Trained social worker counselor"", ""Caregiver"", etc.",clinical_care_team,care_team_participant_role,createdBy
ClinicalCareTeam,CareTeamReasonCode,CareTeamReasonCode.1.2.cdm.json/CareTeamReasonCode,Describes why the care team exists.,clinical_care_team,care_team_reason_code,createdBy
ClinicalCareTeam,CareTeamReasonReference,CareTeamReasonReference.1.2.cdm.json/CareTeamReasonReference,Condition(s) that this care team addresses.,clinical_care_team,care_team_reason_reference,createdBy
ClinicalCareTeam,Goal,Goal.1.1.cdm.json/Goal,Target objective for a user or a team for a specified time period.,clinical_care_team,goal,createdBy
