cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,createdOn,Created On,Date and time when the business unit was created.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,dynamics_crm_common,account,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,createdBy,Created By,Shows who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,dynamics_crm_common,account,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,modifiedOn,Modified On,Date and time when the business unit was last modified.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,dynamics_crm_common,account,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,modifiedBy,Modified By,Shows who last updated the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,dynamics_crm_common,account,modified_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,createdOnBehalfBy,Created By (Delegate),Shows who created the record on behalf of another user.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,dynamics_crm_common,account,created_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,modifiedOnBehalfBy,Modified By (Delegate),Shows who last updated the record on behalf of another user.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,dynamics_crm_common,account,modified_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,dynamics_crm_common,account,overridden_created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,importSequenceNumber,Import Sequence Number,Unique identifier of the data import or data migration that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,dynamics_crm_common,account,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,ownerId,Owner,Owner Id,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,dynamics_crm_common,account,owner_id,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,ownerIdType,Owner Type,"The type of owner, either User or Team.",means.entityName,string,CdmDataFormat.STRING,False,,False,,,,,dynamics_crm_common,account,owner_id_type,,,,STRING,VARCHAR,STRING,object,category:entityName|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,owningBusinessUnit,Owning Business Unit,Unique identifier for the business unit that owns the record,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,BusinessUnit,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,dynamics_crm_common,account,owning_business_unit,soa_clienteling,business_unit,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,owningUser,Owning User,Unique identifier of the user that owns the activity.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,dynamics_crm_common,account,owning_user,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,owningTeam,Owning Team,Unique identifier for the team that owns the record.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,Team,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,dynamics_crm_common,account,owning_team,soa_clienteling,team,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,timeZoneRuleVersionNumber,Time Zone Rule Version Number,For internal use only.,,int32,CdmDataFormat.INT32,False,,False,,,,,dynamics_crm_common,account,time_zone_rule_version_number,,,,INT,INTEGER,INT64,Int32,
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,UTCConversionTimeZoneCode,UTC Conversion Time Zone Code,Time zone code that was in use when the record was created.,,int32,CdmDataFormat.INT32,False,,False,,,,,dynamics_crm_common,account,utc_conversion_time_zone_code,,,,INT,INTEGER,INT64,Int32,
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,versionNumber,Version Number,Version number of the business unit.,means.measurement.version,int64,CdmDataFormat.INT64,False,,False,,,,,dynamics_crm_common,account,version_number,,,,BIGINT,BIGINT,INT64,Int64,category:measurement|subcategory:version|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,accountId,Account,Unique identifier of the account.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,dynamics_crm_common,account,account_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,accountCategoryCode,Category,Select a category to indicate whether the customer account is standard or preferred.,,int32,CdmDataFormat.INT32,False,,False,,,,,dynamics_crm_common,account,account_category_code,,,,INT,INTEGER,INT64,Int32,
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,accountCategoryCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,dynamics_crm_common,account,account_category_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,customerSizeCode,Customer Size,Select the size category or range of the account for segmentation and reporting purposes.,,int32,CdmDataFormat.INT32,False,,False,,,,,dynamics_crm_common,account,customer_size_code,,,,INT,INTEGER,INT64,Int32,
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,customerSizeCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,dynamics_crm_common,account,customer_size_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,preferredContactMethodCode,Preferred Method of Contact,Select the preferred method of contact.,,int32,CdmDataFormat.INT32,False,,False,,,,,dynamics_crm_common,account,preferred_contact_method_code,,,,INT,INTEGER,INT64,Int32,
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,preferredContactMethodCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,dynamics_crm_common,account,preferred_contact_method_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,customerTypeCode,Relationship Type,Select the category that best describes the relationship between the account and your organization.,,int32,CdmDataFormat.INT32,False,,False,,,,,dynamics_crm_common,account,customer_type_code,,,,INT,INTEGER,INT64,Int32,
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,customerTypeCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,dynamics_crm_common,account,customer_type_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,accountRatingCode,Account Rating,Select a rating to indicate the value of the customer account.,,int32,CdmDataFormat.INT32,False,,False,,,,,dynamics_crm_common,account,account_rating_code,,,,INT,INTEGER,INT64,Int32,
Dynamics CRM Common,local:/core/applicationCommon/foundationCommon/crmCommon/crmCommonOnly.1.4.manifest.cdm.json,Account.1.4.cdm.json/Account,Account,accountRatingCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,dynamics_crm_common,account,account_rating_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
