cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,createdOn,Created On,Date and time when the team was created.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,project_common,bookable_resource,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,createdBy,Created By,Unique identifier of the user who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,project_common,bookable_resource,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,modifiedOn,Modified On,Date and time when the team was last modified.,means.measurement.date|means.measurement.time|means.measurement.date.modify,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,project_common,bookable_resource,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:modify
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,modifiedBy,Modified By,Unique identifier of the user who modified the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,project_common,bookable_resource,modified_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,createdOnBehalfBy,Created By (Delegate),Unique identifier of the delegate user who created the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,project_common,bookable_resource,created_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,modifiedOnBehalfBy,Modified By (Delegate),Unique identifier of the delegate user who modified the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,project_common,bookable_resource,modified_on_behalf_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,project_common,bookable_resource,overridden_created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,importSequenceNumber,Import Sequence Number,Sequence number of the import that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,project_common,bookable_resource,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,ownerId,Owner,Owner Id,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,project_common,bookable_resource,owner_id,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,ownerIdType,Owner Type,"The type of owner, either User or Team.",means.entityName,string,CdmDataFormat.STRING,False,,False,,,,,project_common,bookable_resource,owner_id_type,,,,STRING,VARCHAR,STRING,object,category:entityName|role:dimension
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,owningBusinessUnit,Owning Business Unit,Unique identifier for the business unit that owns the record,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,BusinessUnit,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,project_common,bookable_resource,owning_business_unit,soa_clienteling,business_unit,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,owningUser,Owning User,Unique identifier for the user that owns the record.,means.identity.entityId|means.userId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,project_common,bookable_resource,owning_user,soa_clienteling,user,id,STRING,UUID,STRING,object,category:userId|subcategory:entityId|role:dimension
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,owningTeam,Owning Team,Unique identifier for the team that owns the record.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,Team,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,project_common,bookable_resource,owning_team,soa_clienteling,team,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
projectCommon,local:/core/applicationCommon/foundationCommon/crmCommon/projectCommon/projectCommon.1.4.manifest.cdm.json,BookableResource.1.4.cdm.json/BookableResource,BookableResource,timeZoneRuleVersionNumber,Time Zone Rule Version Number,For internal use only.,,int32,CdmDataFormat.INT32,False,,False,,,,,project_common,bookable_resource,time_zone_rule_version_number,,,,INT,INTEGER,INT64,Int32,
