cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Cloud for Sustainability Data Model CDM manifest,AccommodationType,AccommodationType.1.0.cdm.json/AccommodationType,"Entity used for classifying the type of hotel accommodation, as defined in the reporting company.",cloudfor_sustainability_data_model_cd_mmanifest,accommodation_type,accommodationtypeId
Cloud for Sustainability Data Model CDM manifest,BusinessTravel,BusinessTravel.1.0.cdm.json/BusinessTravel,"Entity for business travel activity data, including vehicle, train, and air travel, as well as hotel stays.",cloudfor_sustainability_data_model_cd_mmanifest,business_travel,businesstravelId
Cloud for Sustainability Data Model CDM manifest,BusinessTravelType,BusinessTravelType.1.0.cdm.json/BusinessTravelType,"Entity used for classifying the type of business travel, as defined in the reporting company.",cloudfor_sustainability_data_model_cd_mmanifest,business_travel_type,businesstraveltypeId
Cloud for Sustainability Data Model CDM manifest,CapitalGood,CapitalGood.1.0.cdm.json/CapitalGood,Purchased entity that depreciates over time.,cloudfor_sustainability_data_model_cd_mmanifest,capital_good,capitalgoodId
Cloud for Sustainability Data Model CDM manifest,ContractualInstrumentType,ContractualInstrumentType.1.0.cdm.json/ContractualInstrumentType,Documented method/approach to confirm and validate source data.,cloudfor_sustainability_data_model_cd_mmanifest,contractual_instrument_type,contractualinstrumenttypeId
Cloud for Sustainability Data Model CDM manifest,DisposalMethod,DisposalMethod.1.0.cdm.json/DisposalMethod,"Entity used for classifying the type of disposal method, as defined in the reporting company.",cloudfor_sustainability_data_model_cd_mmanifest,disposal_method,disposalmethodId
Cloud for Sustainability Data Model CDM manifest,Emission,Emission.1.0.cdm.json/Emission,Entity which lists the most common greenhouse gases and their quantities as output of calculation or direct measurement.,cloudfor_sustainability_data_model_cd_mmanifest,emission,emissionId
Cloud for Sustainability Data Model CDM manifest,EmissionsSource,EmissionsSource.1.0.cdm.json/EmissionsSource,"Greenhouse Gas Protocol-defined emissions sources in scopes 1, 2, and 3.",cloudfor_sustainability_data_model_cd_mmanifest,emissions_source,
Cloud for Sustainability Data Model CDM manifest,EmployeeCommuting,EmployeeCommuting.1.0.cdm.json/EmployeeCommuting,Entity for employee commuting data,cloudfor_sustainability_data_model_cd_mmanifest,employee_commuting,employeecommutingId
Cloud for Sustainability Data Model CDM manifest,EmployeeCommutingType,EmployeeCommutingType.1.0.cdm.json/EmployeeCommutingType,"Entity used for classifying the type of employee commuting, as defined in the reporting company.",cloudfor_sustainability_data_model_cd_mmanifest,employee_commuting_type,employeecommutingtypeId
Cloud for Sustainability Data Model CDM manifest,EndOfLifeTreatmentOfSoldProducts,EndOfLifeTreatmentOfSoldProducts.1.0.cdm.json/EndOfLifeTreatmentOfSoldProducts,Entity for end for life treatment of sold products,cloudfor_sustainability_data_model_cd_mmanifest,end_of_life_treatment_of_sold_products,endoflifetreatmentofsoldproductsId
Cloud for Sustainability Data Model CDM manifest,ExternalActivity,ExternalActivity.1.0.cdm.json/ExternalActivity,Table that holds activities from external sources,cloudfor_sustainability_data_model_cd_mmanifest,external_activity,externalactivityId
Cloud for Sustainability Data Model CDM manifest,ExternalEmissions,ExternalEmissions.1.0.cdm.json/ExternalEmissions,Emissions from external sources,cloudfor_sustainability_data_model_cd_mmanifest,external_emissions,externalemissionId
Cloud for Sustainability Data Model CDM manifest,FuelType,FuelType.1.0.cdm.json/FuelType,"List of fuels to be used during combustion, as needed for emissions factor selection.",cloudfor_sustainability_data_model_cd_mmanifest,fuel_type,fueltypeId
Cloud for Sustainability Data Model CDM manifest,FugitiveEmission,FugitiveEmission.1.0.cdm.json/FugitiveEmission,Greenhouse gas emissions that cannot reasonably be expected to be captured. Typically includes refrigerants.,cloudfor_sustainability_data_model_cd_mmanifest,fugitive_emission,fugitiveemissionId
Cloud for Sustainability Data Model CDM manifest,GreenhouseGas,GreenhouseGas.1.0.cdm.json/GreenhouseGas,Entity for greenhouse gases.,cloudfor_sustainability_data_model_cd_mmanifest,greenhouse_gas,greenhousegasId
Cloud for Sustainability Data Model CDM manifest,IndustrialProcess,IndustrialProcess.1.0.cdm.json/IndustrialProcess,Emissions source for scope 1 emissions relating to industrial processes.,cloudfor_sustainability_data_model_cd_mmanifest,industrial_process,industrialprocessId
Cloud for Sustainability Data Model CDM manifest,Investment,Investment.1.0.cdm.json/Investment,"The investment entity monitors and manages indirect greenhouse gas emissions resulting from the organization's investments in projects, companies, or assets contributing to climate change.",cloudfor_sustainability_data_model_cd_mmanifest,investment,investmentId
