cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
Commoncore,AccountType,AccountType.1.1.cdm.json/AccountType,,commoncore,account_type,createdBy
Commoncore,AppointmentEMR,AppointmentEMR.1.2.cdm.json/AppointmentEMR,"A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time. This may result in one or more Encounter(s).",commoncore,appointment_emr,createdBy
Commoncore,CarePlan,CarePlan.1.2.cdm.json/CarePlan,"Describes the intention of how one or more practitioners intend to deliver care for a particular patient, group or community for a period of time, possibly limited to care for a specific condition",commoncore,care_plan,createdBy
Commoncore,CareTeam,CareTeam.1.2.cdm.json/CareTeam,The Care Team includes all the people and organizations who plan to participate in the coordination and delivery of care for a patient.,commoncore,care_team,createdBy
Commoncore,CodeableConcept,CodeableConcept.1.2.cdm.json/CodeableConcept,"A Codeable Concept represents a value that is usually supplied by providing a reference to one or more terminologies, but may also be defined by the provision of text.",commoncore,codeable_concept,createdBy
Commoncore,CommunicationRequest,CommunicationRequest.1.2.cdm.json/CommunicationRequest,A request to convey information.,commoncore,communication_request,createdBy
Commoncore,Condition,Condition.1.2.cdm.json/Condition,"A clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.",commoncore,condition,createdBy
Commoncore,DataRequirement,DataRequirement.1.2.cdm.json/DataRequirement,"Describes a required data item for evaluation in terms of the type of data, and optional code or date-based filters of the data.",commoncore,data_requirement,createdBy
Commoncore,Device,Device.1.2.cdm.json/Device,This entity identifies an instance or a type of a manufactured item that is used in the provision of healthcare without being substantially changed through that activity.,commoncore,device,createdBy
Commoncore,DeviceComponent,DeviceComponent.1.2.cdm.json/DeviceComponent,"The characteristics, operational status and capabilities of a medical-related component of a medical device.",commoncore,device_component,createdBy
Commoncore,DeviceMetric,DeviceMetric.1.2.cdm.json/DeviceMetric,"Describes a measurement, calculation or setting capability of a medical device.",commoncore,device_metric,createdBy
Commoncore,DeviceRequest,DeviceRequest.1.2.cdm.json/DeviceRequest,"Represents a request for a patient to employ a medical device. The device may be an implantable device, or an external assistive device, such as a walker.",commoncore,device_request,createdBy
Commoncore,Dosage,Dosage.1.2.cdm.json/Dosage,Indicates how the medication is/was taken or should be taken by the patient.,commoncore,dosage,createdBy
Commoncore,DosageAddInstruction,DosageAddInstruction.1.2.cdm.json/DosageAddInstruction,"Additional instruction such as ""Swallow with plenty of water"" which may or may not be coded.",commoncore,dosage_add_instruction,createdBy
Commoncore,Encounter,Encounter.1.2.cdm.json/Encounter,An interaction between a patient and healthcare provider(s) for the purpose of providing healthcare service(s) or assessing the health status of a patient.,commoncore,encounter,createdBy
Commoncore,Endpoint,Endpoint.1.2.cdm.json/Endpoint,The technical details of an endpoint that can be used for electronic services.This may include any security context information.,commoncore,endpoint,createdBy
Commoncore,EpisodeOfCare,EpisodeOfCare.1.2.cdm.json/EpisodeOfCare,An association between a patient and an organization / healthcare provider(s) during which time encounters may occur.,commoncore,episode_of_care,createdBy
Commoncore,Goal,Goal.1.2.cdm.json/Goal,"Describes the intended objective(s) for a patient, group or organization care",commoncore,goal,createdBy
Commoncore,HealthcareService,HealthcareService.1.2.cdm.json/HealthcareService,The details of a healthcare service available at a location.,commoncore,healthcare_service,createdBy
Commoncore,ActivityDefinition,ActivityDefinition.1.2.cdm.json/ActivityDefinition,"This entity allows for the definition of some activity to be performed, independent of a particular patient, practitioner, or other performance context.",commoncore,activity_definition,createdBy
Commoncore,Location,Location.1.2.cdm.json/Location,"Details and position information for a physical place where services are provided and resources and participants may be stored, found, contained or accommodated.",commoncore,location,createdBy
Commoncore,LocationEndPoint,LocationEndPoint.1.1.cdm.json/LocationEndPoint,Technical endpoints providing access to services operated for the location.,commoncore,location_end_point,createdBy
Commoncore,LocationTelecom,LocationTelecom.1.2.cdm.json/LocationTelecom,"The contact details of communication devices available at the location. This can include phone numbers, fax numbers, mobile numbers, email addresses and web sites.",commoncore,location_telecom,createdBy
Commoncore,Medication,Medication.1.2.cdm.json/Medication,Medications,commoncore,medication,createdBy
Commoncore,MedicationAdministration,MedicationAdministration.1.2.cdm.json/MedicationAdministration,Describes the event of a patient consuming or otherwise being administered a medication.,commoncore,medication_administration,createdBy
Commoncore,MedicationRequest,MedicationRequest.1.2.cdm.json/MedicationRequest,An order or request for both supply of the medication and the instructions for administration of the medication to a patient.,commoncore,medication_request,createdBy
Commoncore,NutritionOrder,NutritionOrder.1.2.cdm.json/NutritionOrder,"A request to supply a diet, formula feeding (eternal) or oral nutritional supplement to a patient/resident.",commoncore,nutrition_order,createdBy
Commoncore,Observation,Observation.1.2.cdm.json/Observation,"Measurements and simple assertions made about a patient, device or other subject.",commoncore,observation,createdBy
