cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,customerAddressId,Address,Unique identifier of the customer address.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,supporting_entities,address,customer_address_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,addressNumber,Address Number,"Shows the number of the address, to indicate whether the address is the primary, secondary, or other address for the customer.",,int32,CdmDataFormat.INT32,False,,False,,,,,supporting_entities,address,address_number,,,,INT,INTEGER,INT64,Int32,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,objectTypeCode,Object Type ,Shows the type code of the customer record to indicate whether the address belongs to a customer account or contact.,,int32,CdmDataFormat.INT32,False,,False,,,,,supporting_entities,address,object_type_code,,,,INT,INTEGER,INT64,Int32,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,objectTypeCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,object_type_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,addressTypeCode,Address Type,"Select the address type, such as primary or billing.",,int32,CdmDataFormat.INT32,False,,False,,,,,supporting_entities,address,address_type_code,,,,INT,INTEGER,INT64,Int32,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,addressTypeCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,address_type_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,name,Address Name,"Type a descriptive name for the customer's address, such as Corporate Headquarters.",means.identity.name,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,name,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:name|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,primaryContactName,Address Contact,Type the name of the primary contact person for the customer's address.,means.identity.name,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,primary_contact_name,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:name|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,line1,Street 1,Type the first line of the customer's address to help identify the location.,means.location.address.street.line1,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,line1,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:address|type:street|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,line2,Street 2,Type the second line of the customer's address.,means.location.address.street.line2,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,line2,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:address|type:street|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,line3,Street 3,Type the third line of the customer's address.,means.location.address.street.line3,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,line3,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:address|type:street|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,city,City,Type the city for the customer's address to help identify the location.,means.location.city,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,city,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:city|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,stateOrProvince,State/Province,Type the state or province of the customer's address.,means.location.stateOrProvince,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,state_or_province,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:stateOrProvince|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,county,County,Type the county for the customer's address.,means.location.county,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,county,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:county|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,country,Country/Region,Type the country or region for the customer's address.,means.location.country,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,country,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:country|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,postOfficeBox,Post Office Box,Type the post office box number of the customer's address.,,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,post_office_box,,,,STRING,VARCHAR,STRING,object,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,postalCode,ZIP/Postal Code,Type the ZIP Code or postal code for the address.,means.location.postalCode,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,postal_code,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:postalCode|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,UTCOffset,UTC Offset,Select the time zone for the address.,means.location.timezone,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,utc_offset,,,,STRING,VARCHAR,STRING,object,category:location|subcategory:timezone|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,freightTermsCode,Freight Terms,Select the freight terms to make sure shipping charges are processed correctly.,,int32,CdmDataFormat.INT32,False,,False,,,,,supporting_entities,address,freight_terms_code,,,,INT,INTEGER,INT64,Int32,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,freightTermsCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,freight_terms_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,UPSZone,UPS Zone,"Type the UPS zone of the customer's address to make sure shipping charges are calculated correctly and deliveries are made promptly, if shipped by UPS.",,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,ups_zone,,,,STRING,VARCHAR,STRING,object,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,latitude,Latitude,"Type the latitude value for the customer's address, for use in mapping and other applications.",means.location.latitude,double,CdmDataFormat.DOUBLE,False,,False,,,,,supporting_entities,address,latitude,,,,FLOAT,DOUBLE,FLOAT64,float64,category:location|subcategory:latitude|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,telephone1,Main Phone,Type the primary phone number for the customer's address.,means.identity.service.phone,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,telephone1,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:service|type:phone|pii:true|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,longitude,Longitude,"Type the longitude value for the customer's address, for use in mapping and other applications.",means.location.longitude,double,CdmDataFormat.DOUBLE,False,,False,,,,,supporting_entities,address,longitude,,,,FLOAT,DOUBLE,FLOAT64,float64,category:location|subcategory:longitude|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,shippingMethodCode,Shipping Method,Select a shipping method for deliveries sent to this address.,,int32,CdmDataFormat.INT32,False,,False,,,,,supporting_entities,address,shipping_method_code,,,,INT,INTEGER,INT64,Int32,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,shippingMethodCode_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,shipping_method_code_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,telephone2,Phone 2,Type a second phone number for the customer's address.,means.identity.service.phone,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,telephone2,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:service|type:phone|pii:true|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,telephone3,Telephone 3,Type a third phone number for the customer's address.,means.identity.service.phone,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,telephone3,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:service|type:phone|pii:true|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,fax,Fax,Type the fax number associated with the customer's address.,means.identity.service.phone.fax,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,fax,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:service|type:phone|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,versionNumber,Version number,Version number of the user.,,int64,CdmDataFormat.INT64,False,,False,,,,,supporting_entities,address,version_number,,,,BIGINT,BIGINT,INT64,Int64,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,createdBy,Created By,Shows who created the record.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,SOAClienteling,User,id,local:/Retail/SOAClienteling/SOAClienteling.manifest.cdm.json,supporting_entities,address,created_by,soa_clienteling,user,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,systemUserId,User,Unique identifier for the user.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,supporting_entities,address,system_user_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,id,Organization ,Unique identifier of the organization associated with the user.,,guid,CdmDataFormat.GUID,False,,True,electronicMedicalRecordsAccelerator,Organization,id,local:/manifests/electronicMedicalRecordsAccelerator.manifest.cdm.json,supporting_entities,address,id,electronic_medical_records_accelerator,organization,id,STRING,UUID,STRING,object,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,firstName,First Name,First name of the user.,means.identity.person.firstName,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,first_name,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:person|type:firstName|pii:true|role:dimension
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,salutation,Salutation,Salutation for correspondence with the user.,,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,salutation,,,,STRING,VARCHAR,STRING,object,
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,/core/applicationCommon/Address.1.3.cdm.json/Address,Address,middleName,Middle Name,Middle name of the user.,means.identity.person.middleName,string,CdmDataFormat.STRING,False,,False,,,,,supporting_entities,address,middle_name,,,,STRING,VARCHAR,STRING,object,category:identity|subcategory:person|type:middleName|pii:true|role:dimension
