cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
nonProfitForSales,Campaign,Campaign.2.3.cdm.json/Campaign,"Container for campaign activities and responses, sales literature, products, and lists to create, plan, execute, and track the results of a specific marketing campaign through its life.",non_profit_for_sales,campaign,createdBy
nonProfitForSales,Lead,Lead.2.4.cdm.json/Lead,"Prospect or potential sales opportunity. Leads are converted into accounts, contacts, or opportunities when they are qualified. Otherwise, they are deleted or archived.",non_profit_for_sales,lead,createdBy
nonProfitForSales,CreditPlan,CreditPlan.2.4.cdm.json/CreditPlan,Credit Plans control who will be credited with hard or soft credits after a payment clears.,non_profit_for_sales,credit_plan,createdBy
nonProfitForSales,DesignationPlan,DesignationPlan.2.4.cdm.json/DesignationPlan,"A line item attached to a Pledge, Payment Schedule, or Campaign indicating how associated payments should be designated.",non_profit_for_sales,designation_plan,createdBy
nonProfitForSales,DonorCommitment,DonorCommitment.2.4.cdm.json/DonorCommitment,Donor commitments represent the actual or prospective agreement between a donor and an organization for the donor to make a gift to the organization.,non_profit_for_sales,donor_commitment,createdBy
nonProfitForSales,OfacMatch,OfacMatch.2.4.cdm.json/OfacMatch,OFAC Match is a placeholder entity for tracking Office of Foreign Assets Control (OFAC) Specially Designated Naturals (SDN) searches and results.,non_profit_for_sales,ofac_match,createdBy
nonProfitForSales,PlannedGiving,PlannedGiving.2.3.cdm.json/PlannedGiving,A planned gift is a gift made during a donor's lifetime or at the time of their death that involves their estate and/or tax planning.,non_profit_for_sales,planned_giving,createdBy
nonProfitForSales,Preference,Preference.2.4.cdm.json/Preference,"Preference represents an abundance of constituent or organization information that doesn't live cleanly on an account or contact record, or that can be associated with both an Account and a Contact.",non_profit_for_sales,preference,createdBy
nonProfitForSales,Recommendation,Recommendation.2.4.cdm.json/Recommendation,This is the mechanism through which Foundations provide recommendations back to a grant applicant.,non_profit_for_sales,recommendation,createdBy
nonProfitForSales,Report,Report.2.4.cdm.json/Report,"Reports represent information submitted by an awardee to the awarding entity (i.e., a Foundation) or information submitted by an authorized awarding entity individual/entity about an awardee.",non_profit_for_sales,report,createdBy
nonProfitForSales,Request,Request.2.4.cdm.json/Request,Requests represent a request from an individual or institution for funding or support. A request is more formal than an inquiry (LOI) and typically happens after an inquiry has already occurred.,non_profit_for_sales,request,createdBy
nonProfitForSales,Review,Review.2.4.cdm.json/Review,The assessment of a Request made by an internal staff member (or team) or an external third party individual or entity (i.e. Consultant) and all of the relevant information that needs to be tracked.,non_profit_for_sales,review,createdBy
nonProfitForSales,Transaction,Transaction.2.4.cdm.json/Transaction,"Transactions (also referred to as donations) represent payments from a constituent (i.e. donor, contact, account or organization) to the nonprofit.",non_profit_for_sales,transaction,createdBy
nonProfitForSales,Opportunity,Opportunity.2.4.cdm.json/Opportunity,"An opportunity represents prospective, pending and closed ""deals"" or gifts.  This entity allows nonprofit organizations to track their efforts to build relationships with prospective donors.",non_profit_for_sales,opportunity,createdBy
