cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
HealthcareFoundation,Contact,Contact.1.1.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",healthcare_foundation,contact,createdBy
HealthcareFoundation,AllergyIntolerance,AllergyIntolerance.1.1.cdm.json/AllergyIntolerance,"Risk of harmful or undesirable, physiological response which is unique to an individual and associated with exposure to a substance.",healthcare_foundation,allergy_intolerance,createdBy
HealthcareFoundation,AppointmentEMR,AppointmentEMR.1.2.cdm.json/AppointmentEMR,"A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time. This may result in one or more Encounter(s).",healthcare_foundation,appointment_emr,createdBy
HealthcareFoundation,CarePlan,CarePlan.1.2.cdm.json/CarePlan,"Describes the intention of how one or more practitioners intend to deliver care for a particular patient, group or community for a period of time, possibly limited to care for a specific condition",healthcare_foundation,care_plan,createdBy
HealthcareFoundation,CarePlanActivity,CarePlanActivity.1.2.cdm.json/CarePlanActivity,"Identifies a planned action to occur as part of the plan. For example, a medication to be used, lab tests to perform, self-monitoring, education, etc.",healthcare_foundation,care_plan_activity,createdBy
HealthcareFoundation,CarePlanActivityGoal,CarePlanActivityGoal.1.1.cdm.json/CarePlanActivityGoal,Internal reference that identifies the goals that this activity is intended to contribute towards meeting.,healthcare_foundation,care_plan_activity_goal,createdBy
HealthcareFoundation,CarePlanGoal,CarePlanGoal.1.2.cdm.json/CarePlanGoal,Describes the intended objective(s) of carrying out the care plan.,healthcare_foundation,care_plan_goal,createdBy
HealthcareFoundation,CareTeam,CareTeam.1.2.cdm.json/CareTeam,The Care Team includes all the people and organizations who plan to participate in the coordination and delivery of care for a patient.,healthcare_foundation,care_team,createdBy
HealthcareFoundation,CareTeamCategory,CareTeamCategory.1.1.cdm.json/CareTeamCategory,"Identifies what kind of team. This is to support differentiation between multiple co-existing teams, such as care plan team, episode of care team, longitudinal care team.",healthcare_foundation,care_team_category,createdBy
HealthcareFoundation,CareTeamManagingOrganization,CareTeamManagingOrganization.1.1.cdm.json/CareTeamManagingOrganization,The organization responsible for the care team.,healthcare_foundation,care_team_managing_organization,createdBy
HealthcareFoundation,CareTeamParticipant,CareTeamParticipant.1.2.cdm.json/CareTeamParticipant,Identifies all people and organizations who are expected to be involved in the care team.,healthcare_foundation,care_team_participant,createdBy
HealthcareFoundation,CareTeamReasonCode,CareTeamReasonCode.1.1.cdm.json/CareTeamReasonCode,Describes why the care team exists.,healthcare_foundation,care_team_reason_code,createdBy
