cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,bookingType,Booking Type,Select whether the booking is solid or liquid. Solid bookings are firm and cannot be changed whereas liquid bookings can be changed.,,int32,CdmDataFormat.INT32,False,,False,,,,,healthcare_home_health,booked_home_visit,booking_type,,,,INT,INTEGER,INT64,Int32,
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,bookingType_display,,,means.reference.displayText,string,CdmDataFormat.STRING,False,,False,,,,,healthcare_home_health,booked_home_visit,booking_type_display,,,,STRING,VARCHAR,STRING,object,category:reference|subcategory:displayText|role:dimension
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,carePlanAssigned,Care Plan Assigned,Date field to record date of care plan assignment,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,healthcare_home_health,booked_home_visit,care_plan_assigned,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,deviceAssigned,Device Assigned,Date field to record date of device assignment,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,healthcare_home_health,booked_home_visit,device_assigned,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,followUpAppointmentNeeded,Follow Up Appointment Needed,Two option field to record the need of a follow up appointment,,boolean,CdmDataFormat.BOOLEAN,False,,False,,,,,healthcare_home_health,booked_home_visit,follow_up_appointment_needed,,,,BOOLEAN,BOOLEAN,BOOL,boolean,
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,medicationReconciliation,Medication Reconciliation,Date time field to record the time of medication reconciliation,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,healthcare_home_health,booked_home_visit,medication_reconciliation,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,necessarySuppliesGathered,Necessary Supplies Gathered,Two option field to ensure necessary supplies have been gathered,,boolean,CdmDataFormat.BOOLEAN,False,,False,,,,,healthcare_home_health,booked_home_visit,necessary_supplies_gathered,,,,BOOLEAN,BOOLEAN,BOOL,boolean,
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,notifyPatientOfArrivalTime,Notify Patient of Arrival Time,Two option field to ensure that the patient is aware of arrival time,,boolean,CdmDataFormat.BOOLEAN,False,,False,,,,,healthcare_home_health,booked_home_visit,notify_patient_of_arrival_time,,,,BOOLEAN,BOOLEAN,BOOL,boolean,
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,patientId,Patient,Lookup field to patient.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,True,CloudforSustainabilitySharedDataModel,Contact,id,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.manifest.cdm.json,healthcare_home_health,booked_home_visit,patient_id,cloudfor_sustainability_shared_data_model,contact,id,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,BookedHomeVisit.1.1.cdm.json/BookedHomeVisit,BookedHomeVisit,createdOn,Created On,Date and time when the record was created.,means.measurement.date|means.measurement.time|means.measurement.date.creation,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,healthcare_home_health,booked_home_visit,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:date|role:dimension|type:creation
