cdm_manifest,cdm_manifest_path,cdm_source_file,cdm_entity_name,cdm_attribute_name,cdm_display_name,description,cdm_semantic_meanings,cdm_data_type,cdm_data_format,is_primary_key,is_nullable,is_foreign_key,cdm_related_manifest,cdm_related_entity,cdm_related_attribute,cdm_related_manifest_source_file,dbt_schema_name,dbt_model_name,dbt_column_name,dbt_related_schema_name,dbt_related_model_name,dbt_related_column_name,dbt_data_type,duckdb_data_type,bigquery_data_type,pandas_data_type,dbt_labels
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Account.1.0.1.cdm.json/Account,Account,accountId,Account,Unique identifier of the account.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,propertyand_casualty_data_model_cd_mmanifest,account,account_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Account.1.0.1.cdm.json/Account,Account,msfsi_profiletier,Profile tier,"Internal ranking of the customer based on profitability to the Insurer (high, medium, low).",,int32,CdmDataFormat.INT32,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,account,msfsi_profiletier,,,,INT,INTEGER,INT64,Int32,
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Contact.1.0.1.cdm.json/Contact,Contact,contactId,Contact,Unique identifier of the contact.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,propertyand_casualty_data_model_cd_mmanifest,contact,contact_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Contact.1.0.1.cdm.json/Contact,Contact,msfsi_profiletier,Profile tier,Internal ranking of the customer based on profitability to the Insurer (High Medium Low).,,int32,CdmDataFormat.INT32,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,contact,msfsi_profiletier,,,,INT,INTEGER,INT64,Int32,
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,documentId,Document,Unique identifier for entity instances.,means.identity.entityId,guid,CdmDataFormat.GUID,True,False,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,document_id,,,,STRING,UUID,STRING,object,category:identity|subcategory:entityId|role:dimension
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,createdOn,Created On,Date and time when the record was created.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,created_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,modifiedOn,Modified On,Date and time when the record was modified.,means.measurement.date|means.measurement.time,datetime,CdmDataFormat.DATE_TIME,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,modified_on,,,,TIMESTAMP,TIMESTAMP,TIMESTAMP,datetime64[ns],category:measurement|subcategory:time|role:dimension
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,statecode,Status,Status of the Claim Document,means.entityState,int32,CdmDataFormat.INT32,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,statecode,,,,INT,INTEGER,INT64,Int32,category:entityState|role:dimension
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,statuscode,Status Reason,Reason for the status of the Claim Document,,int32,CdmDataFormat.INT32,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,statuscode,,,,INT,INTEGER,INT64,Int32,
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,importSequenceNumber,Import Sequence Number,Sequence number of the import that created this record.,,int32,CdmDataFormat.INT32,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,import_sequence_number,,,,INT,INTEGER,INT64,Int32,
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,overriddenCreatedOn,Record Created On,Date and time that the record was migrated.,means.measurement.date,date,CdmDataFormat.DATE,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,overridden_created_on,,,,,,,,category:measurement|subcategory:date|role:dimension
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,timeZoneRuleVersionNumber,Time Zone Rule Version Number,For internal use only.,,int32,CdmDataFormat.INT32,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,time_zone_rule_version_number,,,,INT,INTEGER,INT64,Int32,
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,UTCConversionTimeZoneCode,UTC Conversion Time Zone Code,Time zone code that was in use when the record was created.,,int32,CdmDataFormat.INT32,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,utc_conversion_time_zone_code,,,,INT,INTEGER,INT64,Int32,
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,name,Name,Required name field.,,string,CdmDataFormat.STRING,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,name,,,,STRING,VARCHAR,STRING,object,
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,Document.1.0.1.cdm.json/Document,Document,category,Category,"Allow to group documents, e.g., can be used to relate multiple agreements to a single account such for billing.",,int32,CdmDataFormat.INT32,False,,False,,,,,propertyand_casualty_data_model_cd_mmanifest,document,category,,,,INT,INTEGER,INT64,Int32,
