cdm_manifest,cdm_entity_name,cdm_source_file,description,dbt_schema_name,dbt_model_name,primary_key
higherEducation,Account,Account.1.4.cdm.json/Account,Business that represents a customer or potential customer. The company that is billed in business transactions.,higher_education,account,createdBy
higherEducation,Contact,Contact.1.4.cdm.json/Contact,"Person with whom a business unit has a relationship, such as customer, supplier, and colleague.",higher_education,contact,createdBy
higherEducation,Address,Address.1.4.cdm.json/Address,Address and shipping information. Used to store additional addresses for an account or contact.,higher_education,address,customerAddressId
higherEducation,AcademicPeriod,AcademicPeriod.1.4.cdm.json/AcademicPeriod,"The periods of time in which courses are offered by the institution,  such as a term or semester.",higher_education,academic_period,createdBy
higherEducation,AcademicPeriodDetail,AcademicPeriodDetail.1.4.cdm.json/AcademicPeriodDetail,Status between student and their academic periods.,higher_education,academic_period_detail,createdBy
higherEducation,Accomplishments,Accomplishments.1.3.cdm.json/Accomplishments,This entity is used to store the accomplishments of a particular student,higher_education,accomplishments,createdBy
higherEducation,AreaOfInterest,AreaOfInterest.1.4.cdm.json/AreaOfInterest,"The master list of all area of interests offered by an institution.  Areas of interest are higher level subject groupings like astronomy, or business.",higher_education,area_of_interest,createdBy
higherEducation,AreaOfStudy,AreaOfStudy.1.4.cdm.json/AreaOfStudy,"The master list of all area of studies offered by an institution.  Areas of studies are more specific program offerings, such as Master's of Public Administration - Emergency Management.",higher_education,area_of_study,createdBy
higherEducation,Course,Course.1.4.cdm.json/Course,The master list of all courses offered by an institution.,higher_education,course,createdBy
higherEducation,CourseHistory,CourseHistory.1.4.cdm.json/CourseHistory,The course history for a student.,higher_education,course_history,createdBy
higherEducation,CourseSection,CourseSection.1.4.cdm.json/CourseSection,The relationship between an instructor and a specific course.,higher_education,course_section,createdBy
higherEducation,EducationLevel,EducationLevel.1.4.cdm.json/EducationLevel,"The master list of all education levels mapped in the external system, such as Associate of Arts, Bachelor, Certificate.",higher_education,education_level,createdBy
higherEducation,ExtraCurricularActivity,ExtraCurricularActivity.1.4.cdm.json/ExtraCurricularActivity,The master list of all extra curricular activities tracked by the institution.,higher_education,extra_curricular_activity,createdBy
higherEducation,ExtraCurricularParticipant,ExtraCurricularParticipant.1.4.cdm.json/ExtraCurricularParticipant,The relationship between a Contact and a specific Extra Curricular Activity.,higher_education,extra_curricular_participant,createdBy
higherEducation,Grant,Grant.1.3.cdm.json/Grant,This entity stores the list of grants offered to a school by all business partners,higher_education,grant,createdBy
higherEducation,GrantApplicant,GrantApplicant.1.3.cdm.json/GrantApplicant,This entity is used as an internship application form and to store the list of students who have applied to a particular internship.,higher_education,grant_applicant,createdBy
higherEducation,GrantApplicationBusinessProcessFlow,GrantApplicationBusinessProcessFlow.1.3.cdm.json/GrantApplicationBusinessProcessFlow,Base entity for process Grant Application Business Process Flow,higher_education,grant_application_business_process_flow,businessProcessFlowInstanceId
higherEducation,Internship,Internship.1.3.cdm.json/Internship,This entity stores the list of internships offered to a school by all business partners.,higher_education,internship,createdBy
higherEducation,InternshipApplicant,InternshipApplicant.1.3.cdm.json/InternshipApplicant,This entity is used as an internship application form and to store the list of students who have applied to a particular internship.,higher_education,internship_applicant,createdBy
higherEducation,InternshipApplicationFlow,InternshipApplicationFlow.1.3.cdm.json/InternshipApplicationFlow,Base entity for process Internship Application Flow,higher_education,internship_application_flow,businessProcessFlowInstanceId
higherEducation,PreviousEducation,PreviousEducation.1.4.cdm.json/PreviousEducation,The previous education history for a student.,higher_education,previous_education,createdBy
higherEducation,Program,Program.1.4.cdm.json/Program,The master list of all program levels offered by the institution.,higher_education,program,createdBy
higherEducation,ProgramLevel,ProgramLevel.1.4.cdm.json/ProgramLevel,Collection of all Program Levels offered by the institution,higher_education,program_level,createdBy
higherEducation,ProgramVersion,ProgramVersion.1.4.cdm.json/ProgramVersion,The master list of all program versions defined by the institution.,higher_education,program_version,createdBy
higherEducation,ProgramVersionDetail,ProgramVersionDetail.1.4.cdm.json/ProgramVersionDetail,The master list of program versions start dates defined by the institution.,higher_education,program_version_detail,createdBy
higherEducation,RegistrationStatus,RegistrationStatus.1.4.cdm.json/RegistrationStatus,The master list of registration statuses tracked by the institution. The registration status is associated to the student course history.,higher_education,registration_status,createdBy
higherEducation,Scholarship,Scholarship.1.3.cdm.json/Scholarship,This entity stores the list of scholarships offered to a school by all business partners ,higher_education,scholarship,createdBy
higherEducation,ScholarshipApplicant,ScholarshipApplicant.1.3.cdm.json/ScholarshipApplicant,This entity is used as an scholarship application form and to store the list of students who have applied to a particular scholarship.,higher_education,scholarship_applicant,createdBy
higherEducation,ScholarshipApplicationBusinessProcessFlow,ScholarshipApplicationBusinessProcessFlow.1.3.cdm.json/ScholarshipApplicationBusinessProcessFlow,Base entity for process Scholarship Application Business Process Flow,higher_education,scholarship_application_business_process_flow,businessProcessFlowInstanceId
higherEducation,StudentProgramType,StudentProgramType.1.4.cdm.json/StudentProgramType,"The master list of program types defined by the institution, such as major, minor, or concentration.",higher_education,student_program_type,createdBy
higherEducation,StudentStatus,StudentStatus.1.4.cdm.json/StudentStatus,The master list of student statuses defined by the institution.,higher_education,student_status,createdBy
higherEducation,TestScore,TestScore.1.4.cdm.json/TestScore,Test scores for a Student Contact,higher_education,test_score,createdBy
higherEducation,TestType,TestType.1.4.cdm.json/TestType,Type of test taken by a Student Contact,higher_education,test_type,createdBy
